GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,38,87,125,54,137,191,45,130,175,41,108,149
3.750-3.999,22,40,62,51,114,165,87,207,294,168,432,600
3.500-3.749,26,51,77,64,155,219,126,242,368,221,481,702
3.250-3.499,28,41,69,66,142,208,143,250,393,237,432,669
3.000-3.249,29,46,75,79,118,197,145,211,356,226,349,575
2.750-2.999,7,29,36,39,71,110,81,132,213,160,202,362
2.500-2.749,19,14,33,56,45,101,72,92,164,125,132,257
2.250-2.499,10,13,23,24,27,51,41,61,102,70,88,158
2.000-2.249,9,11,20,23,21,44,33,33,66,41,35,76
1.750-1.999,5,5,10,7,13,20,10,12,22,10,4,14
1.500-1.749,5,9,14,8,3,11,9,4,13,1,3,4
1.250-1.499,2,4,6,3,3,6,2,2,4,0,0,0
1.000-1.249,2,0,2,2,5,7,0,2,2,0,0,0
0.750-0.999,0,3,3,0,1,1,1,1,2,0,0,0
0.500-0.749,1,1,2,0,0,0,0,1,1,0,0,0
0.250-0.499,0,1,1,0,1,1,1,1,2,0,0,0
0.000-0.249,5,8,13,5,2,7,1,5,6,0,0,0
