GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,729,526,1255,1044,888,1932,542,663,1205,471,660,1131
3.750-3.999,329,219,548,647,588,1235,863,983,1846,1812,2420,4232
3.500-3.749,539,397,936,825,860,1685,992,1098,2090,2194,2530,4724
3.250-3.499,488,318,806,809,700,1509,1062,1062,2124,2257,2118,4375
3.000-3.249,582,423,1005,870,782,1652,1079,916,1995,2140,1646,3786
2.750-2.999,269,187,456,545,458,1003,811,571,1382,1565,1060,2625
2.500-2.749,302,211,513,508,393,901,603,431,1034,1130,700,1830
2.250-2.499,227,136,363,328,254,582,372,263,635,638,376,1014
2.000-2.249,181,116,297,233,171,404,244,144,388,308,202,510
1.750-1.999,85,61,146,127,90,217,96,52,148,69,58,127
1.500-1.749,76,56,132,60,49,109,39,30,69,11,14,25
1.250-1.499,66,40,106,33,13,46,13,10,23,1,2,3
1.000-1.249,40,31,71,17,17,34,10,5,15,1,1,2
0.750-0.999,18,12,30,7,8,15,3,4,7,0,0,0
0.500-0.749,16,19,35,4,3,7,3,0,3,0,0,0
0.250-0.499,6,4,10,2,1,3,3,3,6,0,0,0
0.000-0.249,65,42,107,19,9,28,7,7,14,1,0,1
