GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,1,2,20,9,29,57,15,72,58,28,86
3.750-3.999,2,0,2,34,7,41,96,27,123,204,64,268
3.500-3.749,5,0,5,29,21,50,114,33,147,286,102,388
3.250-3.499,1,0,1,34,11,45,143,43,186,358,104,462
3.000-3.249,4,0,4,55,23,78,163,50,213,393,129,522
2.750-2.999,9,2,11,57,19,76,120,45,165,289,85,374
2.500-2.749,6,1,7,54,10,64,99,32,131,250,60,310
2.250-2.499,12,1,13,40,14,54,45,9,54,124,27,151
2.000-2.249,11,6,17,13,12,25,26,5,31,42,13,55
1.750-1.999,11,1,12,11,5,16,11,0,11,8,7,15
1.500-1.749,4,1,5,5,4,9,0,2,2,0,0,0
1.250-1.499,1,0,1,1,0,1,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,1,0,1,0,0,0,0,0,0,0,0,0
0.000-0.249,20,13,33,8,1,9,1,1,2,0,0,0
