GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,149,90,239,663,602,1265,555,556,1111,624,771,1395
3.750-3.999,144,86,230,763,651,1414,983,997,1980,2198,2677,4875
3.500-3.749,250,172,422,799,854,1653,1153,1184,2337,2472,2943,5415
3.250-3.499,219,157,376,727,770,1497,1147,1039,2186,2539,2416,4955
3.000-3.249,262,203,465,799,722,1521,1149,859,2008,2365,1854,4219
2.750-2.999,185,134,319,564,440,1004,851,540,1391,1748,1146,2894
2.500-2.749,191,135,326,476,400,876,580,424,1004,1183,722,1905
2.250-2.499,141,114,255,304,231,535,354,231,585,680,352,1032
2.000-2.249,98,71,169,215,150,365,206,139,345,285,193,478
1.750-1.999,49,45,94,92,80,172,63,68,131,59,50,109
1.500-1.749,40,42,82,46,42,88,30,24,54,4,6,10
1.250-1.499,18,34,52,13,9,22,6,9,15,0,1,1
1.000-1.249,27,22,49,8,9,17,2,2,4,0,0,0
0.750-0.999,13,10,23,5,2,7,0,1,1,0,0,0
0.500-0.749,10,5,15,4,4,8,2,0,2,0,0,0
0.250-0.499,5,7,12,2,1,3,1,0,1,0,0,0
0.000-0.249,13,9,22,8,6,14,4,2,6,0,1,1
