GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,81,105,186,134,208,342,90,167,257,120,197,317
3.750-3.999,21,34,55,89,141,230,127,255,382,329,595,924
3.500-3.749,40,79,119,119,188,307,165,302,467,343,699,1042
3.250-3.499,38,64,102,115,180,295,174,281,455,297,599,896
3.000-3.249,44,57,101,100,180,280,176,211,387,292,478,770
2.750-2.999,25,32,57,62,90,152,105,141,246,237,299,536
2.500-2.749,32,44,76,59,80,139,94,102,196,163,164,327
2.250-2.499,18,22,40,42,46,88,51,66,117,125,108,233
2.000-2.249,19,24,43,30,40,70,42,35,77,70,60,130
1.750-1.999,7,16,23,7,17,24,11,15,26,11,13,24
1.500-1.749,7,7,14,5,6,11,2,10,12,2,5,7
1.250-1.499,3,3,6,1,5,6,4,3,7,0,1,1
1.000-1.249,4,6,10,3,2,5,1,2,3,0,1,1
0.750-0.999,0,2,2,0,0,0,0,0,0,0,0,0
0.500-0.749,2,1,3,0,1,1,0,0,0,0,0,0
0.250-0.499,4,1,5,0,0,0,0,0,0,0,0,0
0.000-0.249,5,10,15,4,7,11,0,1,1,0,0,0
