GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,3,4,7,44,78,122,12,38,50,27,66,93
3.750-3.999,0,3,3,16,51,67,33,70,103,96,215,311
3.500-3.749,5,8,13,21,50,71,29,55,84,97,207,304
3.250-3.499,9,12,21,13,52,65,26,72,98,72,165,237
3.000-3.249,3,6,9,22,48,70,11,43,54,54,119,173
2.750-2.999,4,5,9,18,35,53,15,37,52,40,82,122
2.500-2.749,3,5,8,6,21,27,13,30,43,20,52,72
2.250-2.499,3,7,10,6,10,16,2,15,17,8,20,28
2.000-2.249,3,6,9,4,11,15,3,4,7,8,14,22
1.750-1.999,1,9,10,3,2,5,1,5,6,1,4,5
1.500-1.749,1,3,4,0,3,3,0,3,3,0,0,0
1.250-1.499,2,2,4,0,2,2,0,0,0,0,0,0
1.000-1.249,0,2,2,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,1,1,2,0,0,0,0,0,0,0,0,0
0.250-0.499,0,1,1,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,1,0,1,0,0,0
