GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,6,11,17,7,49,56,12,60,72,8,85,93
3.750-3.999,5,15,20,19,61,80,14,101,115,49,311,360
3.500-3.749,9,22,31,19,67,86,49,102,151,103,283,386
3.250-3.499,12,18,30,32,52,84,48,94,142,94,215,309
3.000-3.249,9,25,34,30,49,79,38,79,117,77,133,210
2.750-2.999,1,5,6,17,20,37,30,33,63,59,71,130
2.500-2.749,7,15,22,22,9,31,29,27,56,46,47,93
2.250-2.499,5,6,11,6,9,15,14,16,30,19,18,37
2.000-2.249,3,5,8,6,5,11,10,1,11,10,5,15
1.750-1.999,3,1,4,2,0,2,0,1,1,1,1,2
1.500-1.749,2,3,5,2,0,2,2,2,4,1,0,1
1.250-1.499,0,0,0,0,1,1,1,1,2,0,0,0
1.000-1.249,0,4,4,1,1,2,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,1,0,1,0,0,0
0.000-0.249,0,1,1,1,0,1,0,0,0,0,0,0
