GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,60,103,163,82,102,184,18,57,75,0,0,0
3.750-3.999,6,12,18,22,25,47,8,17,25,0,2,2
3.500-3.749,33,42,75,44,92,136,22,38,60,2,2,4
3.250-3.499,16,21,37,38,57,95,14,26,40,2,3,5
3.000-3.249,55,68,123,65,85,150,29,33,62,1,3,4
2.750-2.999,17,16,33,17,21,38,12,11,23,1,1,2
2.500-2.749,24,25,49,39,32,71,24,11,35,2,0,2
2.250-2.499,18,16,34,16,13,29,11,11,22,0,1,1
2.000-2.249,22,23,45,31,21,52,15,10,25,2,0,2
1.750-1.999,6,8,14,6,2,8,2,0,2,0,0,0
1.500-1.749,6,2,8,6,5,11,6,4,10,0,1,1
1.250-1.499,5,4,9,3,4,7,1,4,5,0,0,0
1.000-1.249,7,3,10,11,7,18,5,0,5,0,0,0
0.750-0.999,3,2,5,2,3,5,1,1,2,0,0,0
0.500-0.749,5,3,8,2,2,4,0,0,0,0,0,0
0.250-0.499,0,1,1,1,0,1,1,0,1,0,1,1
0.000-0.249,22,11,33,30,13,43,8,5,13,0,0,0
