GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,606,591,1197,960,1174,2134,1060,1308,2368,2206,3245,5451
3.750-3.999,266,223,489,516,625,1141,702,790,1492,1362,1669,3031
3.500-3.749,441,363,804,721,793,1514,957,1012,1969,1972,1910,3882
3.250-3.499,391,320,711,636,593,1229,859,777,1636,1720,1399,3119
3.000-3.249,571,414,985,790,670,1460,970,791,1761,1955,1383,3338
2.750-2.999,181,160,341,337,266,603,512,324,836,906,527,1433
2.500-2.749,226,185,411,408,286,694,528,334,862,931,512,1443
2.250-2.499,145,125,270,204,156,360,300,203,503,511,239,750
2.000-2.249,180,104,284,268,162,430,301,185,486,488,265,753
1.750-1.999,54,36,90,82,43,125,107,56,163,98,62,160
1.500-1.749,48,36,84,73,55,128,113,70,183,118,63,181
1.250-1.499,19,23,42,50,32,82,48,19,67,54,32,86
1.000-1.249,60,25,85,53,34,87,66,29,95,70,27,97
0.750-0.999,23,9,32,19,9,28,16,17,33,9,12,21
0.500-0.749,22,13,35,26,13,39,27,10,37,21,13,34
0.250-0.499,11,11,22,10,9,19,13,6,19,10,10,20
0.000-0.249,172,74,246,164,65,229,163,79,242,214,268,482
