GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,8,8,16,49,26,75,128,159,287,242,263,505
3.750-3.999,0,0,0,0,1,1,5,2,7,9,14,23
3.500-3.749,3,1,4,4,3,7,41,29,70,93,80,173
3.250-3.499,0,0,0,0,1,1,9,5,14,29,26,55
3.000-3.249,4,5,9,14,11,25,56,37,93,106,65,171
2.750-2.999,0,0,0,1,0,1,0,1,1,5,3,8
2.500-2.749,0,0,0,1,2,3,13,10,23,25,10,35
2.250-2.499,0,0,0,1,1,2,3,0,3,8,3,11
2.000-2.249,4,0,4,8,1,9,18,11,29,20,15,35
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,0,0,2,1,3,3,2,5
1.250-1.499,0,0,0,0,0,0,0,0,0,1,0,1
1.000-1.249,2,0,2,1,4,5,4,2,6,5,4,9
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,1,0,1,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,3,0,3,7,7,14,19,3,22,32,9,41
