GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,7,7,14,9,7,16,20,12,32,25,40,65
3.750-3.999,7,3,10,2,5,7,9,8,17,14,9,23
3.500-3.749,17,7,24,7,16,23,10,9,19,29,40,69
3.250-3.499,16,9,25,21,10,31,17,13,30,40,30,70
3.000-3.249,24,8,32,21,18,39,32,14,46,58,25,83
2.750-2.999,16,8,24,11,9,20,9,9,18,32,11,43
2.500-2.749,13,12,25,17,5,22,15,12,27,43,18,61
2.250-2.499,16,8,24,11,11,22,12,12,24,21,11,32
2.000-2.249,16,9,25,13,8,21,9,13,22,18,11,29
1.750-1.999,9,2,11,4,5,9,3,0,3,5,5,10
1.500-1.749,5,4,9,5,4,9,6,2,8,4,2,6
1.250-1.499,9,4,13,2,4,6,6,4,10,1,0,1
1.000-1.249,10,5,15,2,1,3,0,1,1,2,2,4
0.750-0.999,7,3,10,2,1,3,0,0,0,0,0,0
0.500-0.749,4,3,7,1,1,2,3,1,4,3,0,3
0.250-0.499,5,0,5,2,0,2,0,1,1,0,1,1
0.000-0.249,13,9,22,4,1,5,9,2,11,17,4,21
