GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,5,6,11,34,57,91,102,215,317,174,355,529
3.750-3.999,0,0,0,1,0,1,2,6,8,8,12,20
3.500-3.749,3,2,5,8,10,18,30,51,81,60,98,158
3.250-3.499,0,0,0,0,1,1,5,23,28,26,32,58
3.000-3.249,2,3,5,16,20,36,52,74,126,112,125,237
2.750-2.999,0,0,0,0,1,1,1,11,12,7,11,18
2.500-2.749,1,0,1,3,2,5,13,20,33,22,46,68
2.250-2.499,0,0,0,0,0,0,5,9,14,5,9,14
2.000-2.249,3,1,4,5,7,12,26,19,45,28,41,69
1.750-1.999,0,0,0,0,0,0,0,0,0,1,1,2
1.500-1.749,0,0,0,1,0,1,7,3,10,4,8,12
1.250-1.499,0,0,0,1,0,1,0,1,1,1,2,3
1.000-1.249,0,0,0,3,0,3,3,6,9,7,13,20
0.750-0.999,0,0,0,0,0,0,0,1,1,1,0,1
0.500-0.749,0,0,0,0,1,1,1,1,2,1,2,3
0.250-0.499,0,0,0,0,0,0,1,0,1,0,0,0
0.000-0.249,0,2,2,3,10,13,17,32,49,76,89,165
