GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,5,8,13,29,28,57,52,34,86,157,117,274
3.750-3.999,3,11,14,23,32,55,42,20,62,54,42,96
3.500-3.749,5,6,11,35,22,57,53,46,99,95,76,171
3.250-3.499,13,9,22,46,22,68,85,30,115,120,67,187
3.000-3.249,12,8,20,52,21,73,95,29,124,164,59,223
2.750-2.999,7,3,10,37,7,44,46,17,63,88,32,120
2.500-2.749,8,4,12,14,7,21,43,20,63,105,22,127
2.250-2.499,7,3,10,18,10,28,25,7,32,69,16,85
2.000-2.249,5,1,6,13,5,18,22,2,24,54,15,69
1.750-1.999,0,1,1,2,2,4,6,1,7,15,4,19
1.500-1.749,3,0,3,4,2,6,6,2,8,8,1,9
1.250-1.499,3,1,4,2,3,5,1,4,5,4,1,5
1.000-1.249,1,0,1,4,1,5,1,1,2,2,1,3
0.750-0.999,1,0,1,1,0,1,1,0,1,2,4,6
0.500-0.749,0,0,0,4,1,5,2,1,3,3,1,4
0.250-0.499,0,0,0,0,0,0,2,0,2,1,0,1
0.000-0.249,1,3,4,6,1,7,3,4,7,5,4,9
