GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,7,5,12,42,91,133,42,65,107,95,187,282
3.750-3.999,2,2,4,5,16,21,21,48,69,34,68,102
3.500-3.749,4,5,9,30,66,96,32,77,109,56,143,199
3.250-3.499,3,8,11,16,35,51,18,48,66,47,123,170
3.000-3.249,8,9,17,20,30,50,21,50,71,40,111,151
2.750-2.999,2,5,7,7,22,29,8,29,37,22,56,78
2.500-2.749,3,7,10,7,27,34,10,22,32,22,59,81
2.250-2.499,4,5,9,5,12,17,5,11,16,11,41,52
2.000-2.249,1,6,7,4,10,14,8,10,18,9,34,43
1.750-1.999,2,1,3,2,4,6,2,5,7,6,10,16
1.500-1.749,2,3,5,1,5,6,1,3,4,5,12,17
1.250-1.499,1,3,4,0,4,4,2,3,5,4,7,11
1.000-1.249,1,0,1,0,2,2,2,3,5,9,18,27
0.750-0.999,0,1,1,0,0,0,0,1,1,2,0,2
0.500-0.749,0,0,0,0,2,2,2,0,2,2,1,3
0.250-0.499,0,0,0,0,0,0,0,1,1,0,0,0
0.000-0.249,2,0,2,2,2,4,1,3,4,9,12,21
