GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,8,14,22,58,154,212,116,296,412,263,737,1000
3.750-3.999,6,3,9,43,87,130,97,173,270,175,363,538
3.500-3.749,6,6,12,60,99,159,121,205,326,235,414,649
3.250-3.499,11,14,25,50,80,130,97,188,285,188,288,476
3.000-3.249,16,11,27,52,70,122,122,168,290,236,342,578
2.750-2.999,4,9,13,29,27,56,45,68,113,102,131,233
2.500-2.749,8,7,15,23,35,58,41,86,127,107,126,233
2.250-2.499,2,3,5,11,11,22,32,27,59,50,59,109
2.000-2.249,4,2,6,18,26,44,30,31,61,72,56,128
1.750-1.999,1,0,1,2,2,4,11,6,17,17,15,32
1.500-1.749,4,3,7,2,4,6,10,17,27,14,16,30
1.250-1.499,0,1,1,3,3,6,8,5,13,13,8,21
1.000-1.249,1,1,2,4,5,9,7,8,15,7,12,19
0.750-0.999,0,1,1,1,0,1,4,3,7,5,2,7
0.500-0.749,0,1,1,1,2,3,2,0,2,3,6,9
0.250-0.499,0,2,2,1,1,2,2,1,3,1,0,1
0.000-0.249,1,6,7,17,20,37,27,22,49,28,26,54
