GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,2,4,36,29,65,35,25,60,98,105,203
3.750-3.999,5,3,8,17,32,49,31,25,56,28,56,84
3.500-3.749,6,8,14,34,42,76,42,35,77,62,82,144
3.250-3.499,6,9,15,37,37,74,32,41,73,56,63,119
3.000-3.249,11,12,23,36,49,85,31,40,71,71,77,148
2.750-2.999,5,12,17,21,20,41,26,27,53,30,29,59
2.500-2.749,3,4,7,18,30,48,21,18,39,49,36,85
2.250-2.499,2,9,11,7,17,24,21,7,28,28,25,53
2.000-2.249,3,7,10,8,13,21,10,12,22,19,16,35
1.750-1.999,3,4,7,4,5,9,3,2,5,3,6,9
1.500-1.749,2,0,2,7,3,10,11,7,18,11,8,19
1.250-1.499,0,2,2,2,3,5,4,3,7,2,2,4
1.000-1.249,3,0,3,1,1,2,3,0,3,3,1,4
0.750-0.999,0,0,0,1,0,1,2,0,2,2,1,3
0.500-0.749,0,1,1,2,0,2,2,0,2,1,1,2
0.250-0.499,0,1,1,0,0,0,0,0,0,0,1,1
0.000-0.249,3,2,5,6,4,10,12,1,13,10,9,19
